date,oblast,precip_mm,ndvi,temp_c,vhi,spi,temp_anomaly,drought_risk
2015-01-01,Administrative unit not available,8.859855849345232,-0.06923946503492182,-0.25288196225420734,8.938215330441691,0.3669399082980938,-0.9693778463926925,36.42471386782332
2015-02-01,Administrative unit not available,10.609845097076944,-0.057761730468822964,0.27848791121863314,13.300770646901661,0.5165996351329182,-0.7489826235494038,34.67969174123933
2015-03-01,Administrative unit not available,19.852594787319116,-0.06104559457727536,3.8522065652234687,12.052611548748695,0.570132902261503,-0.7005436021881553,35.17895538050052
2015-04-01,Administrative unit not available,29.600428404929037,-0.03051118237612937,9.586458013650315,23.65839154966794,1.400526141880972,-1.561016742752561,30.536643380132826
2015-05-01,Administrative unit not available,20.287711604803373,0.02977122838904836,17.896504186344828,46.571044744263936,-0.06517106627308297,-0.4007260042834314,21.89295063247909
2015-06-01,Administrative unit not available,9.583757426015639,0.10223410602331706,26.294306010992216,74.11335374686824,-0.7174245327296954,1.3866876755053248,18.867430114100916
2015-07-01,Administrative unit not available,9.058923306270163,0.024347035623503627,26.53828697490104,44.50937126239723,-0.31586105359379635,-0.41686466564245095,24.723139923791482
2015-08-01,Administrative unit not available,6.867112677100033,0.1561344489849573,25.903487828756624,94.6002561396844,-0.11844596103348885,-0.344420490765187,3.107465232394149
2015-09-01,Administrative unit not available,3.163269401612224,0.12286002474223437,22.3885095633496,81.95302897597294,-0.950912910135948,1.4846859090779754,17.79546350885436
2015-10-01,Administrative unit not available,23.90354758151236,0.014247558161478756,12.464364645482306,40.6706756694916,1.224968789111534,-1.0695325751695357,23.731729732203362
2015-11-01,Administrative unit not available,22.86672166103851,-0.036834722937049084,7.736957704849203,21.254886281792853,0.6720056018773048,0.029624593065188224,31.55729467341324
2015-12-01,Administrative unit not available,22.34854855212649,-0.045338049296972306,4.9240112614196505,18.022869422939337,1.2003258834946873,1.0393118543373039,34.86947593949887
2016-01-01,Administrative unit not available,11.98315828254349,-0.07373797076211998,1.2572935203236852,7.228384878857703,1.283310571181436,0.18875690716313492,37.4861598627832
2016-02-01,Administrative unit not available,12.034542821141784,-0.05695568313192056,3.1782701633875377,13.607139998333457,1.216945381718237,1.0534743588722133,36.66409271841104
2016-03-01,Administrative unit not available,28.104631595175334,-0.022474108225444534,6.496594109551495,26.71319128936695,1.8650770941172015,0.953470831364395,31.221665146982012
2016-04-01,Administrative unit not available,20.452147832290564,0.043919105672191025,12.579909772400924,51.9484906943122,0.3962598447257585,0.40968103727928223,20.039965796833688
2016-05-01,Administrative unit not available,27.83655543884336,0.042843632702842895,19.598995500249487,51.53971574895002,1.0635952461523344,1.0444397427118126,21.472993185843617
2016-06-01,Administrative unit not available,21.143262858509992,0.008322868782217455,24.36078515893024,38.418769162939995,1.3509668377192279,-0.16705651907480135,24.632492334824004
2016-07-01,Administrative unit not available,22.120514840034332,-0.004851929941549223,26.822356747215736,33.4111792169744,2.7611767871922845,-0.10441651432341971,26.63552831321024
2016-08-01,Administrative unit not available,5.490337900255994,0.09223406166446436,28.694546928621435,70.31245153647882,-0.723692497089011,1.3706376402234817,20.405834642567527
2016-09-01,Administrative unit not available,16.771794983425288,0.027038002959001238,20.09227403216937,45.532177094705766,2.379031198023129,-0.8559243722296012,21.787129162117694
2016-10-01,Administrative unit not available,18.821966855284945,0.002359252168403395,11.547981564377721,36.15206686083525,0.43194543615285497,-1.7359600028866673,25.5391732556659
2016-11-01,Administrative unit not available,20.758525837736144,-0.042107254493890536,5.633509855917794,19.250857486559994,0.346251502324571,-1.2545268094642126,32.299657005376005
2016-12-01,Administrative unit not available,20.09288811290956,-0.05222015315683526,1.212453538106331,15.407060649058668,0.8779970237522808,-1.0517885796880804,33.83717574037654
2017-01-01,Administrative unit not available,5.594191029707353,-0.04568549720764748,0.49662177491359216,17.89080845557859,-0.5911995929291362,-0.3945927727717999,37.57327336120166
2017-02-01,Administrative unit not available,9.129010834564369,-0.05294799110370567,-0.9821703125073213,15.130417790108147,-0.21134142887715493,-1.5325870531932215,35.63856431497398
2017-03-01,Administrative unit not available,19.711379848931262,-0.07336120349712326,5.099694232358047,7.3715897966499595,0.5479728624402412,0.0797363577387168,37.21083679681745
2017-04-01,Administrative unit not available,12.150100871136324,0.0008810179732804441,11.245429551590234,35.590206991209556,-0.5151098814524623,-0.4688556556740279,29.88479625513588
2017-05-01,Administrative unit not available,27.537517168460067,0.03290425802418671,17.718146600748298,47.76187338842599,1.0188805410722617,-0.5521254688890473,20.895250644629606
2017-06-01,Administrative unit not available,20.70696745307914,0.00415467307092005,22.383802492451707,36.83448576139879,1.272898649003912,-1.755725882299286,25.266205695440487
2017-07-01,Administrative unit not available,9.964739448552065,0.05485503023102321,27.03416877291079,56.105110238856525,-0.10246971155164947,0.1285553901361775,18.63482437714294
2017-08-01,Administrative unit not available,5.207089257393769,0.05865838204603435,27.477883539196682,57.550720658351004,-0.8482119630308319,0.6230187743921473,25.01144498969055
2017-09-01,Administrative unit not available,4.422397688578497,0.043457970197574296,22.306733195246238,51.77321838732407,-0.6428099642735969,1.4013292127148878,27.23585078468892
2017-10-01,Administrative unit not available,20.988851544690938,-0.03379910639777519,13.288746536720168,22.408689325057015,0.7701059917843909,-0.47001179116290404,31.036524269977196
2017-11-01,Administrative unit not available,20.477999284079218,-0.027931248236944886,9.033827879414503,24.638994937052363,0.30290511396867437,0.8213616710310719,31.787125367241202
2017-12-01,Administrative unit not available,13.63929243873283,-0.052575955646731995,3.455683608762456,15.271824201920975,-0.04420744405230582,0.2120525684378087,34.669035008525675
2018-01-01,Administrative unit not available,13.255473144304492,-0.04421431780473821,-0.33755401885400715,18.449986879566982,1.656605197047803,-1.0343117911789512,32.62000524817321
2018-02-01,Administrative unit not available,9.471236935876306,-0.05111885530735095,0.980324778523368,15.825651335278614,-0.04311164204176638,-0.3127323633624025,34.01463260222268
2018-03-01,Administrative unit not available,21.040529330651438,-0.05374160146244096,3.4838440597947056,14.828775591487839,0.7565485682372558,-0.9309473877700372,34.06848976340486
